Col0,Col1,Col2,Col3
A1,0.116615937495086,0.0019943714141845703,8
A2,0.3338692118931394,0.0019943714141845703,5
A3,0.3407961616731231,0.0019948482513427734,4
A4,0.40627998663763304,0.001994609832763672,3
B1,0.2286230510782201,0.0029921531677246094,7
B2,0.28514212738484784,0.0009970664978027344,5
B3,0.46695133452271925,0.0009965896606445312,3
C1,0.10718413727071988,0.005984306335449219,7
C2,0.19315564747660416,0.002991914749145508,5
C3,0.30654055693767235,0.003977060317993164,5
C4,0.333157426897706,0.0009970664978027344,4
D1,0.17522870558284825,0.006982088088989258,12
D2,0.19683277470615218,0.0069828033447265625,11
D3,0.24116618738256507,0.002991914749145508,7
D4,0.28522085783387313,0.004987955093383789,5
E1,0.1693242989713806,0.0029921531677246094,7
E2,0.4484678954776913,0.004984617233276367,4
E3,0.49916294593775795,0.002992391586303711,4
F2,0.14417539868918278,0.007978439331054688,7
F3,0.16577204630384038,0.006982088088989258,5
F4,0.3031633492923155,0.003989458084106445,4
G1,0.3530060196007992,0.010969877243041992,10
G2,0.4801744095992039,0.008976221084594727,6
G3,0.4753833403566906,0.008976936340332031,5
G4,0.4562590230355237,0.01296544075012207,6
G5,0.5718585631935496,0.0069811344146728516,5
G6,0.5994508094970875,0.00498652458190918,4
H1,0.33379785549718616,0.007976770401000977,6
H2,0.5421498096717219,0.013962268829345703,5
H3,0.4719148865053064,0.0069811344146728516,4
H4,0.4556087089047345,0.011967897415161133,5
H5,0.4477376915318906,0.007979631423950195,4
H6,0.4302231656632767,0.010970354080200195,5
I1,0.2783935443025721,0.02692723274230957,10
I2,0.4557792920199127,0.015956401824951172,7
I3,0.4497399301313028,0.03390908241271973,5
I4,0.4424860386339297,0.0279238224029541,6
I5,0.41735568658188127,0.031914710998535156,7
J1,0.46049805349919365,0.0718080997467041,10
J2,0.5726588877293131,0.05086374282836914,8
J3,0.6419269511135395,0.023936033248901367,6
J4,0.6182019436090087,0.025934219360351562,7
K1,0.5579765340404862,0.03585362434387207,10
K2,0.6107286984579761,0.028922319412231445,8
K3,0.5950307731944928,0.04288506507873535,9
K4,0.6520700785167476,0.0279238224029541,7
L1,0.5895976688951303,0.08776664733886719,10
L2,0.6656356605343982,0.07380390167236328,8
L3,0.6596378863630382,0.05883622169494629,9
L4,0.6584328367960973,0.0967400074005127,7
L5,0.645899326858472,0.07978558540344238,8
M1,0.4732359547068163,0.059841156005859375,11
M2,0.479456760215496,0.07480001449584961,10
M3,0.4928817149298183,0.06183505058288574,9
M4,0.6400512902602845,0.06382894515991211,7
N1,0.5638409513270647,0.14960026741027832,11
N2,0.5639750826521357,0.08776426315307617,10
N3,0.6138121086647172,0.08078384399414062,9
N4,0.611972601260999,0.09973812103271484,10
N5,0.664423493872224,0.07679319381713867,7
N6,0.6631632383365289,0.05884218215942383,8
